id,name,lat,lng,yelpstars,lastrating,rats,roaches,slime,fail,cuisine,weight
913008,"LUBY'S #10 - 0089",29.7716,-95.2179,5,1,1,1,1,1,CAFETERIA,999
913009,"JAMES CONEY ISLAND #12",29.7698,-95.2149,5,2,1,1,1,1,"HOT DOGS, ETC.",999
913025,"SHIPLEY DONUTS",29.7712,-95.1872,5,1,1,1,1,1,,999
913029,"WHATABURGER #431",29.7695,-95.1852,5,3,1,1,1,1,"BURGERS, ETC.",999
913037,"EASTEX EXXON MOBIL",29.7942,-95.3406,5,2,1,1,1,1,,999
913041,"BARBARA JORDAN",29.8122,-95.3346,5,1,1,1,1,0,,999
913062,"CORNER STORE #163",29.6455,-95.2342,5,1,1,1,1,1,,999
913072,"WOK D' LITE",29.6439,-95.2383,5,1,1,1,1,1,CHINESE,999
913096,"STANTON FOOD MARKET",29.7709,-95.3721,5,2,1,1,1,1,"BURGERS, ETC.",999
913100,"CLEAR LAKE INTERMEDIATE SCHOOL",29.5679,-95.1324,5,1,1,1,1,0,,999
913103,"BASKIN ROBBINS #3911",29.5778,-95.1217,5,1,1,1,1,1,DESSERTS,999
913104,"KENTUCKY FRIED CHICKEN W150198",29.5784,-95.122,5,1,1,1,1,1,,999
913105,"KROGER #300",29.5779,-95.1205,5,1,1,1,1,1,,999
913109,"KINDER CARE LEARNING CENTER #301323",29.578,-95.1414,5,1,1,1,1,1,,999
913119,"GATTI'S PIZZA",29.5565,-95.1206,5,1,1,1,1,1,PIZZA,999
913128,"MAGNIFICAT HOUSE",29.7397,-95.3744,5,1,1,1,1,1,,999
913134,"BAYLOR COLLEGE OF MEDICINE ACADEMY @ RYAN",29.7329,-95.3625,5,1,1,1,1,1,,999
913137,"WILLIE'S CREAM BURGER",29.7281,-95.3507,5,1,1,1,1,1,"BURGERS, ETC.",999
913138,"MCDONALD'S #2536",29.7278,-95.3453,5,1,1,1,1,1,"BURGERS, ETC.",999
913147,"CAVATORE ITALIAN RESTAURANT",29.8051,-95.4288,5,1,1,1,1,1,,999
913149,"TONY'S MEXICAN RESTAURANT",29.8065,-95.4288,5,2,1,1,1,1,"MEXICAN / HISPANIC",999
913157,"MCDONALDS #2001",29.8146,-95.43,5,1,1,1,1,1,"BURGERS, ETC.",999
913162,"SHIPLEY DONUTS",29.8179,-95.4292,5,1,1,1,1,1,,999
913171,"FAMILY DOLLAR #1756",29.8394,-95.4277,5,2,1,1,1,1,,999
913174,"GRACE PRESBYTERIAN CHURCH",29.7392,-95.5564,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
913177,"STOVALL ACADEMY",29.8807,-95.4564,5,1,1,1,1,1,,999
913179,"BONNER ELEMENTARY SCHOOL",29.6766,-95.26,5,1,1,1,1,1,,999
913182,"SELLER BROTHER GROCERY",29.7092,-95.2797,5,1,1,1,1,1,,999
913196,"East Transition Campus",29.8142,-95.5036,5,1,1,1,1,1,,999
913199,"KINDER CARE DAY CARE",29.8154,-95.5436,5,1,1,1,1,1,,999
913210,"THE FISHERY RESTAURANT",29.7297,-95.3612,5,1,1,1,1,1,SEAFOOD,999
913213,"LA SHARA'S LOUNGE",29.7218,-95.3674,5,1,1,1,1,1,,999
913241,"LA MEXICANA RESTAURANT",29.7484,-95.3917,5,3,1,1,1,0,,999
913242,"MAGNIFICAT HOUSE",29.7483,-95.3939,5,1,1,1,1,1,,999
913244,"BARNETT STADIUM-COMPLEX",29.6914,-95.3067,5,1,1,1,1,1,,999
913246,"GOLFCREST ELEMENTARY",29.6887,-95.2954,5,1,1,1,1,1,,999
913247,"CLEAR LAKE CITY ELEMENTARY SCHOOL",29.5669,-95.1212,5,1,1,1,1,1,,999
913249,"CLEAR LAKE HIGH 9TH GRADE",29.5767,-95.11,5,1,1,1,1,0,,999
913263,"ALONTI DELI #18",29.7561,-95.3643,5,1,1,1,1,1,DELI,999
913272,"KIM TAIS LUONG MI GIA",29.7448,-95.3735,5,1,1,1,1,1,VIETNAMESE,999
913279,"JACK IN THE BOX #621",29.7333,-95.382,5,1,1,1,1,1,"BURGERS, ETC.",999
913286,"ALONTI DELI #33",29.7114,-95.4,5,1,1,1,1,1,DELI,999
913290,"MARRIOTT MED CTR MAIN KITCHEN",29.7101,-95.401,5,1,1,1,1,0,"LOCAL / CONTINENTAL",999
913299,"DEAN'S GROCERY DELI",29.6997,-95.4012,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
913309,"V F W POST #581",29.8405,-95.3818,5,1,1,1,1,1,"BURGERS, ETC.",999
913316,"EL IMPERIAL RESTAURANT",29.775,-95.2178,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
913327,"CASA OLE",29.7732,-95.2159,5,3,1,1,1,0,"MEXICAN / HISPANIC",999
913349,"STRATFORD SR HIGH SCHOOL",29.7757,-95.6043,5,1,1,1,1,1,,999
913352,"VEGAS MEAT MKT",29.7584,-95.2848,5,1,1,1,1,1,,999
913370,"CEDAR LANDING",30.0175,-95.1178,5,1,1,1,1,1,,999
913373,"SUNMART #392",30.0189,-95.1108,5,3,1,1,1,1,,999
913375,"VFW POST 8790",29.799,-95.5155,5,1,1,1,1,1,,999
913381,"ELVIA'S CANTINA",29.7368,-95.5211,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
913383,"JAVA COFFEE & TEA CO.",29.7368,-95.5211,5,1,1,1,1,1,OTHER,999
913384,"LUBY'S #4 - 0083",29.7362,-95.5212,5,1,1,1,1,1,"LOCAL / CONTINENTAL",999
913386,"FAJITA FLATS",29.7341,-95.5205,5,1,1,1,1,1,"MEXICAN / HISPANIC",999
