id,name,date,lat,lng,cuisine,status,score,site,weight,rats,bugs,slime,condemned
421809,JOLLIBEE,"2013-10-10 00:00:00",29.6924,-95.4148,"LOCAL / CONTINENTAL",PASS,2,"TOTAL ESTABLISHMENT",7,0,0,0,0
421812,"TAQUERIA EL TACONAZO VENTURA - Tex Star","2013-09-26 00:00:00",29.8973,-95.4089,,PASS,1,"7411 PARK PLACE",2,0,0,0,0
421815,"TAQUERIA HECHO EN MEXICO - Texas Commissary","2013-12-26 00:00:00",29.821,-95.5222,,FAIL,3,"3006 BLALOCK RD 77080 (7 DAYS / 7A-11P)",11,0,0,0,0
421817,"LOS RIELES","2013-08-13 00:00:00",29.6241,-95.2313,,PASS,1,0,1,0,0,0,0
421819,"LONE STAR FRUIT AND VEGETABLE","2014-03-27 00:00:00",29.7081,-95.3264,,PASS,1,0,1,0,0,0,0
421820,"SEAFOOD CORNER (inside Greenspoint Mall)","2014-02-26 00:00:00",29.946,-95.4126,SEAFOOD,PASS,2,ESTABLISHMENT,5,0,0,0,0
421827,"GREATER FIRST BAPTIST CHURCH","2013-08-26 00:00:00",29.8298,-95.3941,,PASS,1,"DAY CARE",1,0,0,0,0
421830,"NEW DESTINY WORSHIP CENTER","2014-02-25 00:00:00",29.9498,-95.4232,"BEVERAGES, ETC.",PASS,1,0,3,0,0,0,0
421834,"T AND S FOOD MART","2013-12-19 00:00:00",29.8497,-95.262,,PASS,1,0,1,0,0,0,0
421836,"SUPER MERCADO EL SOL","2013-12-06 00:00:00",29.6523,-95.5547,,PASS,1,ESTABLISHMENT,9,0,0,0,0
421844,"LA VINA","2014-02-14 00:00:00",29.7289,-95.5299,,FAIL,3,ESTABLISHMENT,12,0,0,0,0
421848,"SALATO'S POBOY'S & BURGER FRESH","2013-11-14 00:00:00",29.7735,-95.315,,PASS,1,ESTABLISHMENT,3,0,0,0,0
421851,"THIEN AN RESTAURANT","2014-02-18 00:00:00",29.7439,-95.3723,VIETNAMESE,PASS,1,ESTABLISHMENT,1,0,0,0,0
421853,"HOUSTON KARTING","2013-08-13 00:00:00",29.5924,-95.1693,DESSERTS,PASS,1,0,2,0,0,0,0
421854,"USA WINGS","2014-01-31 00:00:00",29.828,-95.3784,CHICKEN,PASS,1,Kitchen,1,0,0,0,0
421858,"ATHENA GUN CLUB","2013-07-08 00:00:00",29.7852,-95.5684,,PASS,1,0,2,0,0,0,0
421867,BREWINGZ,"2013-11-04 00:00:00",29.7346,-95.6052,,PASS,1,ESTABLISHMENT,1,0,0,0,0
421868,BREWINGZ,"2013-12-10 00:00:00",29.8621,-95.3733,"BAR & GRILL",PASS,1,ESTABLISHMENT,1,0,0,0,0
421869,BREWINGZ,"2014-02-05 00:00:00",29.8739,-95.5348,"BAR & GRILL",PASS,2,ESTABLISHMENT,5,0,0,0,0
421873,"EL KUKO TAQUERIA - SouthWest","2014-04-10 00:00:00",29.6757,-95.5522,,FAIL,5,"9886 Bissonnet",27,0,0,0,0
421879,"MOM & EDDIE'S - GARCIA BROTHER'S","2013-09-27 00:00:00",29.7475,-95.3585,,PASS,2,"1504 ST EMANUEL",6,0,0,0,0
421888,"JT ALL SEASONS","2013-11-18 00:00:00",29.87,-95.3727,,PASS,1,0,1,0,0,0,0
421889,"SNAP KITCHEN #10","2013-11-12 00:00:00",29.735,-95.4838,,PASS,1,ESTABLISHMENT,3,0,0,0,0
421893,BREWINGZ,"2014-01-21 00:00:00",29.7703,-95.1862,CHICKEN,PASS,1,KITCHEN,3,0,0,0,0
421899,"RICE'S CHICKEN AND SEAFOOD","2013-10-10 00:00:00",29.7116,-95.2786,CHICKEN,PASS,3,ESTABLISHMENT,10,0,0,0,0
421900,"SZECHWAN WOK","2014-04-08 00:00:00",29.7755,-95.187,CHINESE,PASS,1,0,4,0,0,0,0
421904,"TAKERIA AREVALO-TEX STAR","2014-01-13 00:00:00",29.8035,-95.3713,,PASS,1,"4830 BRISTOL ST ( M-SUN/6A-10P)",2,0,0,0,0
421913,"SUPER CHICKEN RESTAURANT","2013-11-12 00:00:00",29.6578,-95.4632,CHICKEN,PASS,1,"TOTAL ESTABLISHMENT",4,0,0,0,0
421920,"TAQUERIA CENTINELA  INC.","2014-03-19 00:00:00",29.7936,-95.2555,"MEXICAN / HISPANIC",PASS,3,0,12,0,0,0,0
421928,"MAMA YU RESTAURANT","2014-02-02 00:00:00",29.6881,-95.5687,CHINESE,PASS,1,0,3,0,0,0,0
421929,"JCHRISTOPHER'S PIZZA AND PASTA","2014-04-03 00:00:00",30.0687,-95.2124,ITALIAN,PASS,1,0,1,0,0,0,0
421935,"OTC MIDTOWN","2014-02-10 00:00:00",29.7476,-95.38,,PASS,1,ESTABLISHMENT,4,0,0,0,0
421938,"KATCH 22","2014-02-07 00:00:00",29.7685,-95.4102,"BAR & GRILL",FAIL,5,"Total establishment",34,0,0,0,0
421943,"TACO MAN #1 - Southwest Comisaria","2013-11-04 00:00:00",29.7238,-95.3836,,PASS,1,"4600 WESTHEIMER ( M-F 9-915A)",3,0,0,0,0
421945,"VARGAS FOOD MART","2013-10-08 00:00:00",29.7768,-95.3082,,PASS,1,0,1,0,0,0,0
421947,"RUBY TEQUILA'S MEXICAN KITCHEN","2013-12-11 00:00:00",29.9631,-95.5457,"LOCAL / CONTINENTAL",PASS,2,ESTABLISHMENT,8,0,0,0,0
421952,"SUNMART #352","2014-02-23 00:00:00",29.6973,-95.3751,,PASS,3,ESTABLISHMENT,9,0,0,0,0
421954,"THE FISH PLACE","2014-02-06 00:00:00",29.6293,-95.2317,SEAFOOD,PASS,1,KITCHEN,4,0,0,0,0
421955,"SKEWERS MEDITERRANEAN CAFE & GRILL","2014-02-18 00:00:00",29.7323,-95.4411,"MIDDLE EASTERN",FAIL,4,"Total Establishment",17,0,0,0,0
421958,"CHULAS SPORTS CANTINA","2014-03-15 00:00:00",29.7741,-95.2376,"MEXICAN / HISPANIC",PASS,1,0,2,0,0,0,0
421964,"PANDA CITY","2014-03-15 00:00:00",29.6866,-95.2981,CHINESE,PASS,1,"TOTAL ESTABLISHMENT",3,0,0,0,0
421965,"NAM NOODLES AND MORE","2014-02-22 00:00:00",29.7526,-95.4032,VIETNAMESE,FAIL,3,ESTABLISHMENT,16,0,0,0,0
421972,"KIDS KLUB","2013-09-17 00:00:00",29.7148,-95.5397,,PASS,1,0,4,0,0,0,0
421976,"PERU CAFE EXPRESS","2014-02-21 00:00:00",29.7294,-95.4375,"MEXICAN / HISPANIC",PASS,2,ESTABLISHMENT,6,0,0,0,0
421982,"QUALITY INN","2013-12-30 00:00:00",29.7749,-95.2483,BREAKFAST,PASS,1,Kitchen,8,0,0,0,0
421984,"OMNI HOUSTON WESTSIDE HOTEL","2014-02-03 00:00:00",29.786,-95.6188,"LOCAL / CONTINENTAL",PASS,2,ESTABLISHMENT,5,0,0,0,0
421991,"ODYSSEY  PREPORTY","2013-10-29 00:00:00",29.8712,-95.4918,,PASS,1,KITCHEN,1,0,0,0,0
421997,"HUASTECA MEXICAN GRILL","2014-02-06 00:00:00",29.6522,-95.568,,FAIL,3,ESTABLISHMENT,15,0,0,0,0
421998,"SPEEDY MART #53","2013-07-16 00:00:00",29.8498,-95.5456,,FAIL,3,"TOTAL SITES",15,0,0,0,0
422000,"EL BORRADO - TEXAS","2014-02-05 00:00:00",29.8501,-95.49,,PASS,2,"6737 W.TIDWELL RD ( M-SU/7A-10P)",8,0,0,0,0
422007,SUBWAY,"2014-04-09 00:00:00",29.6272,-95.2311,SANDWICHES,PASS,1,STORE,1,0,0,0,0
422009,"WENDY'S # 14","2014-02-13 00:00:00",29.6995,-95.2972,"BURGERS, ETC.",PASS,3,"TOTAL ESTABLISHMENT",14,0,0,1,0
422019,BREWINGZ,"2014-02-20 00:00:00",29.5992,-95.2682,,PASS,2,KITCHEN,5,0,0,0,0
422021,"TWINKLE WONDERS CHILD CARE","2014-02-17 00:00:00",29.7318,-95.4738,,FAIL,3,ESTABLISHMENT,11,0,0,0,0
422023,"KIDS R YOUNG LEARNING CENTER","2014-03-17 00:00:00",29.9528,-95.546,,PASS,2,0,5,0,0,0,0
422028,"KING MART #1","2014-01-08 00:00:00",29.7162,-95.381,,PASS,1,ESTABLISHMENT,1,0,0,0,0
